test_class_name,cycle_id,tests,failures,failures_%,time,timestamp,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org/apache/commons/validator/ValidatorResultsTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,2,0,0.0,0.016,1562679279.395974,1,1,1,1,12,1,6,4,1,0,4,9,9,9,3,9,0,4,2,3,161,31,69,29,43,61,49,59,29,30,1,1,1,1,0,0.88,9,9,9,9
org/apache/commons/validator/RequiredIfTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,5,0,0.0,0.026000000000000002,1562679279.4106932,1,1,1,1,23,4,12,6,1,0,2,8,8,8,0,8,0,0,2,6,236,50,103,39,82,83,85,94,39,55,1,1,1,1,0,0.81,8,8,8,8
org/apache/commons/validator/LocaleTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,5,0,0.0,0.036000000000000004,1562679279.4266932,1,1,1,1,17,1,8,7,1,0,2,9,9,9,0,9,0,1,2,6,201,27,82,33,45,92,43,56,26,30,4,4,4,1,1,1.12,12,12,12,9
org/apache/commons/validator/EntityImportTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,2,0,0.0,0.013000000000000001,1562679279.440809,1,1,1,1,6,0,4,2,1,0,0,3,3,3,0,3,0,0,0,3,51,6,18,11,7,27,10,14,11,3,1,1,1,1,0,1.5,3,3,3,3
org/apache/commons/validator/ValidatorResourcesTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,1,0,0.0,0.003,1562679279.4536672,1,1,1,1,10,1,5,4,1,0,0,2,2,2,0,2,0,0,0,2,52,8,15,6,5,29,6,10,6,4,2,2,2,1,1,1.93,3,3,3,2
org/apache/commons/validator/GenericTypeValidatorTest.java,d44674e16169ab7c20062e7c75ea3f815ea97d17,3,0,0.0,0.034,1562679279.465675,1,1,1,1,20,2,11,6,1,0,2,7,7,7,0,7,0,1,2,4,193,32,91,31,66,70,75,83,33,50,2,2,2,1,1,0.77,9,9,9,7
org/apache/commons/validator/ValidatorTest.java,f573cb3b22817eaad0c55e62f9c45f3f7157a8d5,4,0,0.0,0.009000000000000001,1562679298.598767,1,1,1,1,19,4,13,2,2,2,0,12,12,10,2,12,0,1,0,11,286,67,173,63,129,46,124,145,63,82,3,3,5,3,2,0.27,19,19,21,14
org/apache/commons/validator/ValidatorResourcesTest.java,f573cb3b22817eaad0c55e62f9c45f3f7157a8d5,1,0,0.0,0.005,1562679298.625692,1,1,1,1,10,1,5,4,1,0,0,2,2,2,0,2,0,0,0,2,52,8,15,6,5,29,6,10,6,4,2,2,2,1,1,1.93,3,3,3,2
org/apache/commons/validator/RetrieveFormTest.java,f573cb3b22817eaad0c55e62f9c45f3f7157a8d5,5,0,0.0,0.205,1562679298.637585,1,1,1,1,19,5,7,6,1,0,2,9,9,9,1,9,0,2,1,6,232,62,81,29,53,89,56,67,29,38,2,2,2,1,1,1.1,10,10,10,9
org/apache/commons/validator/MultipleConfigFilesTest.java,f573cb3b22817eaad0c55e62f9c45f3f7157a8d5,5,0,0.0,0.067,1562679298.6524944,1,1,1,1,30,5,15,8,1,0,2,7,7,7,1,7,0,0,1,6,267,55,119,47,95,93,97,106,46,60,2,2,2,1,1,0.78,8,8,8,7
